"X","cev_st","cev_lvl","prod_type_st","prod_type_lvl","statesid","cash_tt","EjVcev","EjV","counter_policy","EjVcev_gap"
1887313,"cev0",0,"A10189",10189,166,5.16294115087894,3.3689000688701,3.3689000688701,"19E1kapTkTr28",0
1906813,"cev0",0,"A12244",12244,166,5.25615337680741,3.65392558298469,3.65392558298469,"19E1kapTkTr28",0
1867826,"cev0",0,"A8993",8993,178,9.46014098039816,3.83420658401242,3.83420658401242,"19E1kapTkTr28",0
1887326,"cev0",0,"A10189",10189,178,9.50617222783238,3.90885837544893,3.90885837544893,"19E1kapTkTr28",0
1906826,"cev0",0,"A12244",12244,178,9.59938445376085,4.0405060717402,4.0405060717402,"19E1kapTkTr28",0
1867839,"cev0",0,"A8993",8993,185,12.5165659932258,4.0225228409488,4.0225228409488,"19E1kapTkTr28",0
1887339,"cev0",0,"A10189",10189,185,12.6495169919518,4.07758906714934,4.07758906714934,"19E1kapTkTr28",0
1906839,"cev0",0,"A12244",12244,185,12.9187397313175,4.17326682642453,4.17326682642453,"19E1kapTkTr28",0
1867852,"cev0",0,"A8993",8993,191,15.0329641890589,4.12290012870648,4.12290012870648,"19E1kapTkTr28",0
1887352,"cev0",0,"A10189",10189,191,15.1659151877849,4.16585149903436,4.16585149903436,"19E1kapTkTr28",0
1906852,"cev0",0,"A12244",12244,191,15.4351379271506,4.24114440815665,4.24114440815665,"19E1kapTkTr28",0
1867865,"cev0",0,"A8993",8993,193,15.6635827898279,4.14364272301288,4.14364272301288,"19E1kapTkTr28",0
1887365,"cev0",0,"A10189",10189,193,15.7096140372621,4.18172682518857,4.18172682518857,"19E1kapTkTr28",0
1906865,"cev0",0,"A12244",12244,193,15.8028262631906,4.2494788721827,4.2494788721827,"19E1kapTkTr28",0
1867878,"cev0",0,"A8993",8993,195,18.3250243653836,4.21547698069765,4.21547698069765,"19E1kapTkTr28",0
1887378,"cev0",0,"A10189",10189,195,18.7090236929598,4.25316301981534,4.25316301981534,"19E1kapTkTr28",0
1906878,"cev0",0,"A12244",12244,195,19.4866135710001,4.31815020833756,4.31815020833756,"19E1kapTkTr28",0
1867891,"cev0",0,"A8993",8993,198,19.6795742428901,4.24488494030702,4.24488494030702,"19E1kapTkTr28",0
1887391,"cev0",0,"A10189",10189,198,20.0635735704663,4.2788566401794,4.2788566401794,"19E1kapTkTr28",0
1906891,"cev0",0,"A12244",12244,198,20.8411634485065,4.3378479703338,4.3378479703338,"19E1kapTkTr28",0
1867904,"cev0",0,"A8993",8993,200,19.0977974088499,4.2324529409877,4.2324529409877,"19E1kapTkTr28",0
1887404,"cev0",0,"A10189",10189,200,19.2307484075759,4.2632505287969,4.2632505287969,"19E1kapTkTr28",0
1906904,"cev0",0,"A12244",12244,200,19.4999711469416,4.31835384563593,4.31835384563593,"19E1kapTkTr28",0
1867917,"cev0",0,"A8993",8993,201,21.0747606167217,4.27165836203129,4.27165836203129,"19E1kapTkTr28",0
1887417,"cev0",0,"A10189",10189,201,21.4587599442979,4.30244886878073,4.30244886878073,"19E1kapTkTr28",0
1906917,"cev0",0,"A12244",12244,201,22.2363498223382,4.35617103139678,4.35617103139678,"19E1kapTkTr28",0
1867930,"cev0",0,"A8993",8993,204,22.5118025817683,4.29633867297179,4.29633867297179,"19E1kapTkTr28",0
1887430,"cev0",0,"A10189",10189,204,22.8958019093445,4.32411179831318,4.32411179831318,"19E1kapTkTr28",0
1906930,"cev0",0,"A12244",12244,204,23.6733917873848,4.37302546462288,4.37302546462288,"19E1kapTkTr28",0
1868138,"cev0",0,"A8993",8993,303,3.36276192753395,2.48413341893053,2.48413341893053,"19E1kapTkTr28",0
1887638,"cev0",0,"A10189",10189,303,3.78978846948838,2.93901977039089,2.93901977039089,"19E1kapTkTr28",0
1907138,"cev0",0,"A12244",12244,303,4.65450747505062,3.55181950611661,3.55181950611661,"19E1kapTkTr28",0
1868151,"cev0",0,"A8993",8993,304,1.29862224446763,-1.33937555048815,-1.33937555048815,"19E1kapTkTr28",0
1887651,"cev0",0,"A10189",10189,304,1.34981130393228,-0.546902549933789,-0.546902549933789,"19E1kapTkTr28",0
1907151,"cev0",0,"A12244",12244,304,1.45346798155552,1.15927137082293,1.15927137082293,"19E1kapTkTr28",0
1868164,"cev0",0,"A8993",8993,311,3.93223315815861,2.79991577033312,2.79991577033312,"19E1kapTkTr28",0
1887664,"cev0",0,"A10189",10189,311,4.08008134735647,3.05495828518741,3.05495828518741,"19E1kapTkTr28",0
1907164,"cev0",0,"A12244",12244,311,4.37947055757329,3.4957393060058,3.4957393060058,"19E1kapTkTr28",0
1868177,"cev0",0,"A8993",8993,316,5.15752680244568,3.22508793317916,3.22508793317916,"19E1kapTkTr28",0
