EjV,k_tt,b_tt,eps_tt,cash_tt,maxof7_overJ,ktp_opti,btp_opti,consumption_opti,prob ib,prob is,prob fb2,prob fs,prob ibfb2,prob fbis2,prob none,kn ib,kn is,kn fb2,kn fs,kn ibfb2,kn fbis2,kn none,bn ib,bn is,bn fb2,bn fs,bn ibfb2,bn fbis2,bn none,cc ib,cc is,cc fb2,cc fs,cc ibfb2,cc fbis2,cc none,jV ib,jV is,jV fb2,jV fs,jV ibfb2,jV fbis2,jV none,btp_fb_opti,bn_fb ib,bn_fb is,bn_fb fb2,bn_fb fs,bn_fb ibfb2,bn_fb fbis2,bn_fb none,btp_ib_opti,bn_ib ib,bn_ib is,bn_ib fb2,bn_ib fs,bn_ib ibfb2,bn_ib fbis2,bn_ib none,btp_fs_opti,bn_fs ib,bn_fs is,bn_fs fb2,bn_fs fs,bn_fs ibfb2,bn_fs fbis2,bn_fs none,btp_il_opti,bn_il ib,bn_il is,bn_il fb2,bn_il fs,bn_il ibfb2,bn_il fbis2,bn_il none
-28.85868605,0,0,-1.123160172,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28.85868605,0,0,-0.0625,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-28.85868605,0,0,0.998160172,0,0,0,0,0.001,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,-44.01243484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.79334768,0,3.869909191,-1.123160172,3.869909191,6,3.00992937,0,0.85997982,0.140629532,0.158896744,0.139289202,0.144802063,0.115894194,0.137985939,0.162502325,3.193392939,2.001060661,2.711223599,2.057727328,2.240919254,2.011444829,3.00992937,-0.334951437,1.137491816,0,0.94472548,0,1.059509485,0,0.83240166,0.711488235,0.978685592,0.731636383,1.342989936,0.63232412,0.85997982,-9.537002407,-9.353814036,-9.551367368,-9.493144312,-9.827179421,-9.565468221,-9.32015744,0,0,0,0,0,0,-0.563204552,0,0,-0.334951437,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,0,0,1.137491816,0,0,0,1.622714037,0
-4.79334768,0,3.869909191,-0.0625,3.869909191,6,3.00992937,0,0.85997982,0.140629532,0.158896744,0.139289202,0.144802063,0.115894194,0.137985939,0.162502325,3.193392939,2.001060661,2.711223599,2.057727328,2.240919254,2.011444829,3.00992937,-0.334951437,1.137491816,0,0.94472548,0,1.059509485,0,0.83240166,0.711488235,0.978685592,0.731636383,1.342989936,0.63232412,0.85997982,-9.537002407,-9.353814036,-9.551367368,-9.493144312,-9.827179421,-9.565468221,-9.32015744,0,0,0,0,0,0,-0.563204552,0,0,-0.334951437,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,0,0,1.137491816,0,0,0,1.622714037,0
-4.79334768,0,3.869909191,0.998160172,3.869909191,6,3.00992937,0,0.85997982,0.140629532,0.158896744,0.139289202,0.144802063,0.115894194,0.137985939,0.162502325,3.193392939,2.001060661,2.711223599,2.057727328,2.240919254,2.011444829,3.00992937,-0.334951437,1.137491816,0,0.94472548,0,1.059509485,0,0.83240166,0.711488235,0.978685592,0.731636383,1.342989936,0.63232412,0.85997982,-9.537002407,-9.353814036,-9.551367368,-9.493144312,-9.827179421,-9.565468221,-9.32015744,0,0,0,0,0,0,-0.563204552,0,0,-0.334951437,0,0,0,0,0,0,0,0,0,0,0.94472548,0,0,0,0,0,1.137491816,0,0,0,1.622714037,0
-2.887947365,0,7.855915657,-1.123160172,7.855915657,1,2.529305219,2.875539,2.810339132,0.134094131,0.149567581,0.141733082,0.14223085,0.138728515,0.147755691,0.14589015,6.575218657,2.529305219,4.51200777,4.272175365,4.733258809,2.17723686,4.364397587,-2.069002137,2.875539,0,0,-0.496466257,3.276859481,0,2.792368726,2.810339132,3.163907887,3.417740292,3.269118744,2.723021167,3.49151807,-6.85429036,-6.690480888,-6.771185017,-6.765926232,-6.803325053,-6.708763136,-6.727822479,0,0,0,0,0,-0.496466257,-0.609626321,0,0,-2.069002137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875539,0,2.875539,0,0,0,3.886485802,0
-2.887947365,0,7.855915657,-0.0625,7.855915657,1,2.529305219,2.875539,2.810339132,0.134094131,0.149567581,0.141733082,0.14223085,0.138728515,0.147755691,0.14589015,6.575218657,2.529305219,4.51200777,4.272175365,4.733258809,2.17723686,4.364397587,-2.069002137,2.875539,0,0,-0.496466257,3.276859481,0,2.792368726,2.810339132,3.163907887,3.417740292,3.269118744,2.723021167,3.49151807,-6.85429036,-6.690480888,-6.771185017,-6.765926232,-6.803325053,-6.708763136,-6.727822479,0,0,0,0,0,-0.496466257,-0.609626321,0,0,-2.069002137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875539,0,2.875539,0,0,0,3.886485802,0
-2.887947365,0,7.855915657,0.998160172,7.855915657,1,2.529305219,2.875539,2.810339132,0.134094131,0.149567581,0.141733082,0.14223085,0.138728515,0.147755691,0.14589015,6.575218657,2.529305219,4.51200777,4.272175365,4.733258809,2.17723686,4.364397587,-2.069002137,2.875539,0,0,-0.496466257,3.276859481,0,2.792368726,2.810339132,3.163907887,3.417740292,3.269118744,2.723021167,3.49151807,-6.85429036,-6.690480888,-6.771185017,-6.765926232,-6.803325053,-6.708763136,-6.727822479,0,0,0,0,0,-0.496466257,-0.609626321,0,0,-2.069002137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875539,0,2.875539,0,0,0,3.886485802,0
-2.260522298,0,11.96150232,-1.123160172,11.96150232,1,2.598556071,6.462464583,4.042198332,0.130922222,0.158673672,0.137706253,0.14463251,0.127085609,0.158159535,0.142820197,10.05849915,2.598556071,8.656659409,2.621222737,11.11111111,1.691948369,7.974334878,-2.110049599,6.462464583,-0.538636585,5.265017115,-3.496296296,6.636965518,0,3.446768299,4.042198332,3.59403854,4.077457591,3.575579515,4.674637839,3.987167439,-5.987616672,-5.699247233,-5.911837585,-5.838227637,-6.032230389,-5.704115447,-5.857142093,0,0,0,-0.538636585,0,-3.111111111,-0.473745543,0,0,-2.110049599,0,0,0,-0.385185185,0,0,0,0,0,0,5.265017115,0,0,0,6.462464583,0,6.462464583,0,0,0,7.110711061,0
