EjV,k_tt,b_tt,eps_tt,cash_tt,maxof7_overJ,ktp_opti,btp_opti,consumption_opti,prob ib,prob is,prob fb2,prob fs,prob ibfb2,prob fbis2,prob none,kn ib,kn is,kn fb2,kn fs,kn ibfb2,kn fbis2,kn none,bn ib,bn is,bn fb2,bn fs,bn ibfb2,bn fbis2,bn none,cc ib,cc is,cc fb2,cc fs,cc ibfb2,cc fbis2,cc none,jV ib,jV is,jV fb2,jV fs,jV ibfb2,jV fbis2,jV none,btp_fb_opti,bn_fb ib,bn_fb is,bn_fb fb2,bn_fb fs,bn_fb ibfb2,bn_fb fbis2,bn_fb none,btp_ib_opti,bn_ib ib,bn_ib is,bn_ib fb2,bn_ib fs,bn_ib ibfb2,bn_ib fbis2,bn_ib none,btp_fs_opti,bn_fs ib,bn_fs is,bn_fs fb2,bn_fs fs,bn_fs ibfb2,bn_fs fbis2,bn_fs none,btp_il_opti,bn_il ib,bn_il is,bn_il fb2,bn_il fs,bn_il ibfb2,bn_il fbis2,bn_il none
-2.065552018,0,11.96150232,-0.0625,11.96150232,1,2.598556071,6.462464583,4.042198332,0.128638971,0.162791128,0.138083245,0.144841233,0.123696316,0.16064295,0.141306158,10.05849915,2.598556071,8.656659409,2.621222737,11.11111111,1.691948369,7.974334878,-2.110049599,6.462464583,-0.269318293,5.265017115,-2.330864198,6.636965518,0,3.446768299,4.042198332,3.359440724,4.077457591,2.594760716,4.674637839,3.987167439,-6.355977043,-6.002789819,-6.249706657,-6.178034449,-6.414747504,-6.022715451,-6.215098444,0,0,0,-0.269318293,0,-2.330864198,-0.473745543,0,0,-2.110049599,0,0,0,0,0,0,0,0,0,0,5.265017115,0,0,0,6.462464583,0,6.462464583,0,0,0,7.110711061,0
-2.065552018,0,11.96150232,0.998160172,11.96150232,1,2.598556071,6.462464583,4.042198332,0.128638971,0.162791128,0.138083245,0.144841233,0.123696316,0.16064295,0.141306158,10.05849915,2.598556071,8.656659409,2.621222737,11.11111111,1.691948369,7.974334878,-2.110049599,6.462464583,-0.269318293,5.265017115,-2.330864198,6.636965518,0,3.446768299,4.042198332,3.359440724,4.077457591,2.594760716,4.674637839,3.987167439,-6.355977043,-6.002789819,-6.249706657,-6.178034449,-6.414747504,-6.022715451,-6.215098444,0,0,0,-0.269318293,0,-2.330864198,-0.473745543,0,0,-2.110049599,0,0,0,0,0,0,0,0,0,0,5.265017115,0,0,0,6.462464583,0,6.462464583,0,0,0,7.110711061,0
-1.614789288,0,16.19025658,-1.123160172,16.19025658,1,1.76913962,10.05657588,6.290274203,0.134830904,0.163164099,0.132990833,0.139785755,0.132439157,0.160319377,0.136469876,11.11111111,1.76913962,9.411046877,3.560945906,11.11111111,2.313378207,10.79350438,0,10.05657588,0,7.152555513,0,11.01910941,0,4.973145466,6.290274203,6.5992097,5.539249187,4.793145466,4.871259801,5.396752192,-5.597433768,-5.311331265,-5.618045615,-5.543299526,-5.624280896,-5.337714018,-5.579310069,0,0,0,0,0,0,-0.647745898,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152555513,0,0,0,10.05657588,0,10.05657588,0,0,0,11.6668553,0
-1.614789288,0,16.19025658,-0.0625,16.19025658,1,1.76913962,10.05657588,6.290274203,0.134830904,0.163164099,0.132990833,0.139785755,0.132439157,0.160319377,0.136469876,11.11111111,1.76913962,9.411046877,3.560945906,11.11111111,2.313378207,10.79350438,0,10.05657588,0,7.152555513,0,11.01910941,0,4.973145466,6.290274203,6.5992097,5.539249187,4.793145466,4.871259801,5.396752192,-5.597433768,-5.311331265,-5.618045615,-5.543299526,-5.624280896,-5.337714018,-5.579310069,0,0,0,0,0,0,-0.647745898,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152555513,0,0,0,10.05657588,0,10.05657588,0,0,0,11.6668553,0
-1.614789288,0,16.19025658,0.998160172,16.19025658,1,1.76913962,10.05657588,6.290274203,0.134830904,0.163164099,0.132990833,0.139785755,0.132439157,0.160319377,0.136469876,11.11111111,1.76913962,9.411046877,3.560945906,11.11111111,2.313378207,10.79350438,0,10.05657588,0,7.152555513,0,11.01910941,0,4.973145466,6.290274203,6.5992097,5.539249187,4.793145466,4.871259801,5.396752192,-5.597433768,-5.311331265,-5.618045615,-5.543299526,-5.624280896,-5.337714018,-5.579310069,0,0,0,0,0,0,-0.647745898,0,0,0,0,0,0,0,0,0,0,0,0,0,7.152555513,0,0,0,10.05657588,0,10.05657588,0,0,0,11.6668553,0
-1.306100726,0,20.54587347,-1.123160172,20.54587347,1,2.253097052,12.80760502,8.011011739,0.131072958,0.162684759,0.134733102,0.142086131,0.131207626,0.16022647,0.137988954,11.11111111,2.253097052,11.97133781,2.264430385,16.66666667,2.953450939,13.69724898,0,12.80760502,0,10.3962515,-3.496296296,14.06791113,0,9.328762354,8.011011739,8.394535658,8.051308036,6.638761064,6.21905523,6.848624488,-5.168563532,-4.844473174,-5.127250975,-5.047544532,-5.167023175,-4.867312303,-5.091434223,0,0,0,0,0,-3.496296296,-0.826966263,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3962515,0,0,0,12.80760502,0,12.80760502,0,0,0,14.89487739,0
-1.306100726,0,20.54587347,-0.0625,20.54587347,1,2.253097052,12.80760502,8.011011739,0.131072958,0.162684759,0.134733102,0.142086131,0.131207626,0.16022647,0.137988954,11.11111111,2.253097052,11.97133781,2.264430385,16.66666667,2.953450939,13.69724898,0,12.80760502,0,10.3962515,-3.496296296,14.06791113,0,9.328762354,8.011011739,8.394535658,8.051308036,6.638761064,6.21905523,6.848624488,-5.168563532,-4.844473174,-5.127250975,-5.047544532,-5.167023175,-4.867312303,-5.091434223,0,0,0,0,0,-3.496296296,-0.826966263,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3962515,0,0,0,12.80760502,0,12.80760502,0,0,0,14.89487739,0
-1.306100726,0,20.54587347,0.998160172,20.54587347,1,2.253097052,12.80760502,8.011011739,0.131072958,0.162684759,0.134733102,0.142086131,0.131207626,0.16022647,0.137988954,11.11111111,2.253097052,11.97133781,2.264430385,16.66666667,2.953450939,13.69724898,0,12.80760502,0,10.3962515,-3.496296296,14.06791113,0,9.328762354,8.011011739,8.394535658,8.051308036,6.638761064,6.21905523,6.848624488,-5.168563532,-4.844473174,-5.127250975,-5.047544532,-5.167023175,-4.867312303,-5.091434223,0,0,0,0,0,-3.496296296,-0.826966263,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3962515,0,0,0,12.80760502,0,12.80760502,0,0,0,14.89487739,0
-1.054857261,0,25.03215886,-1.123160172,25.03215886,1,2.751573207,15.64116503,9.783371401,0.13594222,0.159916098,0.133724388,0.141138465,0.134636558,0.157941211,0.136701061,16.66666667,2.751573207,14.60843747,5.52581308,16.66666667,0,16.68810591,0,15.64116503,0,11.09920955,0,20.96209279,0,8.259492193,9.783371401,10.24372139,8.595709236,8.079492193,8.19471962,8.344052953,-4.730326012,-4.486696993,-4.754999617,-4.674058785,-4.744802447,-4.505336601,-4.721976166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09920955,0,0,0,15.64116503,0,15.64116503,0,0,0,20.96209279,0
-1.054857261,0,25.03215886,-0.0625,25.03215886,1,2.751573207,15.64116503,9.783371401,0.13594222,0.159916098,0.133724388,0.141138465,0.134636558,0.157941211,0.136701061,16.66666667,2.751573207,14.60843747,5.52581308,16.66666667,0,16.68810591,0,15.64116503,0,11.09920955,0,20.96209279,0,8.259492193,9.783371401,10.24372139,8.595709236,8.079492193,8.19471962,8.344052953,-4.730326012,-4.486696993,-4.754999617,-4.674058785,-4.744802447,-4.505336601,-4.721976166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09920955,0,0,0,15.64116503,0,15.64116503,0,0,0,20.96209279,0
-1.054857261,0,25.03215886,0.998160172,25.03215886,1,2.751573207,15.64116503,9.783371401,0.13594222,0.159916098,0.133724388,0.141138465,0.134636558,0.157941211,0.136701061,16.66666667,2.751573207,14.60843747,5.52581308,16.66666667,0,16.68810591,0,15.64116503,0,11.09920955,0,20.96209279,0,8.259492193,9.783371401,10.24372139,8.595709236,8.079492193,8.19471962,8.344052953,-4.730326012,-4.486696993,-4.754999617,-4.674058785,-4.744802447,-4.505336601,-4.721976166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09920955,0,0,0,15.64116503,0,15.64116503,0,0,0,20.96209279,0
-0.860967078,0,29.65303282,-1.123160172,29.65303282,1,0,25.05563798,9.795010939,0.134379776,0.16045924,0.135476081,0.140743457,0.133624611,0.159263715,0.13605312,16.66666667,0,17.32465011,3.27633698,16.66666667,0,19.76868854,0,25.05563798,0,15.04202711,0,24.90215798,0,12.88036615,9.795010939,12.1483827,11.64919815,12.70036615,9.735010939,9.884344272,-4.451604061,-4.185549042,-4.439416316,-4.382200805,-4.460057286,-4.196766851,-4.43304088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04202711,0,0,0,25.05563798,0,25.05563798,0,0,0,24.90215798,0
