"","prod_type_st","prod_type_lvl","statesid","cash_tt","EjV"
"1","A0",0,526,32.8474712605457,-1.04799293205758
"2","A0",0,555,53.3465869778373,-0.535341396172851
"3","A0",0,905,1.53302534699529,-5.80484975540784
"4","A0",0,953,20.1253810077412,-1.61044078138776
"5","A0",0,1017,63.7747661483877,-0.357131293623931
"6","A0",0,1047,95.3407986645728,-0.00377591702086866
"7","A0",0,1142,43.2585108410139,-0.752147442606987
"8","A0",0,1167,63.8221539648463,-0.356401889962788
"9","A0",0,1450,49.5593323825806,-0.61056111504186
"10","A0",0,1614,61.2664854514954,-0.396743664060646
"11","A0",0,1627,73.6936769887542,-0.220218499307781
"12","A0",0,1790,87.1249966350322,-0.0734533537654289
"13","A0",0,1799,97.9062970219225,0.0157166768707299
"14","A0",0,1842,16.057625423201,-1.88835199142466
"15","A0",0,2013,26.1644684082442,-1.30330498853282
"16","A0",0,2227,73.7085137435364,-0.220033446253642
"17","A0",0,2463,26.2464556344246,-1.29977701176999
"18","A0",0,2511,58.848263826505,-0.436769256179647
"19","A0",0,2538,85.2157934183274,-0.0915668253297772
"20","A0",0,2567,5.51917216002068,-3.36424639221679
"21","A0",0,2592,16.1948090605881,-1.87740435830868
"22","A0",0,2757,23.2012259812209,-1.44213411174772
"23","A0",0,2888,13.4905820948706,-2.10823792028139
"24","A0",0,2980,76.8228166903711,-0.182393993522324
"25","A0",0,2986,83.302750290898,-0.110570824348694
"26","A0",0,3004,1.16880369130783,-6.88441765438142
"27","A0",0,3207,23.2701777725615,-1.43872730924177
"28","A0",0,3371,29.8667283723932,-1.15367471634899
"29","A0",0,3446,94.3041159409839,-0.0119612934007321
"30","A0",0,4291,42.8977813589573,-0.760739847826596
"31","A0",0,4307,54.9916264667605,-0.504645556188523
"32","A0",0,4405,21.2635040182161,-1.54597004822146
"33","A0",0,4444,45.073728588636,-0.708791375526989
"34","A0",0,4469,65.540409116544,-0.33043374584761
"35","A0",0,4761,59.167071138428,-0.431438087584548
"36","A0",0,5107,2.12440475649102,-5.09261083478716
"37","A0",0,5134,11.7761044823907,-2.2856102085526
"38","A0",0,5211,59.221596892053,-0.430535356215944
"39","A0",0,5349,49.5918204368722,-0.609880123312586
"40","A0",0,5364,61.8348495145216,-0.387700976788151
"41","A0",0,5475,33.4218242998594,-1.02877245587408
"42","A0",0,5769,29.9733446984334,-1.14956870652646
"43","A0",0,5962,59.5771292099744,-0.424686196407743
"44","A0",0,5991,89.0630349937507,-0.0559082259660198
"45","A0",0,6170,6.71989644205215,-3.06649576632181
"46","A0",0,6737,83.9769513834489,-0.103733559460685
"47","A0",0,6746,94.4442333124686,-0.0108479767098449
"48","A0",0,6988,40.8253115681264,-0.81317603009885
"49","A0",0,7067,5.71630848501256,-3.31109604508686
"50","A0",0,7081,10.5991306704367,-2.42695271533866
"51","A2504",2504,526,32.9037140185334,-1.00029205834416
"52","A2504",2504,555,53.8157722042249,-0.496872393776692
"53","A2504",2504,905,1.71449848771116,-5.0283143353663
"54","A2504",2504,953,20.3068541484571,-1.52959325683118
"55","A2504",2504,1017,64.298910868441,-0.324045976934169
"56","A2504",2504,1047,95.8649433846261,0.0204340915978954
"57","A2504",2504,1142,43.4446543846289,-0.711453169292803
"58","A2504",2504,1167,64.35978810273,-0.323133226941599
"59","A2504",2504,1450,49.6265653361698,-0.577549980725358
"60","A2504",2504,1614,61.8376106556277,-0.361569707985998
"61","A2504",2504,1627,73.7621396231898,-0.196701707495772
"62","A2504",2504,1790,87.3260511750608,-0.0508857937141087
"63","A2504",2504,1799,98.1073515619511,0.0372071358409643
"64","A2504",2504,1842,16.6473351097811,-1.76010420474053
"65","A2504",2504,2013,26.7627071359819,-1.22225025160891
"66","A2504",2504,2227,73.7811998092135,-0.196476443155946
"67","A2504",2504,2463,26.8680328494224,-1.21802129488649
"68","A2504",2504,2511,59.4698410415027,-0.39930320177211
"69","A2504",2504,2538,85.8373706333251,-0.0647726520692577
"70","A2504",2504,2567,5.73686608642118,-3.10295059584347
"71","A2504",2504,2592,16.8235694471687,-1.74745849332068
"72","A2504",2504,2757,23.8369288025976,-1.34971602873883
"73","A2504",2504,2888,13.713009117927,-1.99019947219099
"74","A2504",2504,2980,76.899826968086,-0.159665350191613
"75","A2504",2504,2986,83.3797605686129,-0.0888589918892298
